This document has 1105 terms. 
t_index	term	Norm_tf_idf
1708	independent	0.12592789571913993
1259	vermont	0.10841812332713263
1661	burlington	0.10493991309928327
411	class	0.10229032416543633
3986	operation	0.09639747216245316
133	percent	0.09583266726602378
2233	defeated	0.09562511207409817
138	political	0.09523685302677708
1017	struggle	0.09483648870889999
552	senate	0.0938096918672662
8260	bolder	0.09239058844089335
8212	fiveterm	0.09239058844089335
8226	caucuses	0.09239058844089335
328	major	0.08337855624109168
1005	billionaire	0.07903040725741664
5802	lowerincome	0.0783277849412644
1261	parties	0.07227874888475508
2178	caucus	0.07171883405557362
2144	profound	0.07171883405557362
4728	creation	0.07010157223897122
1208	progressive	0.06981880338470955
509	legislation	0.06890432163226914
1886	saudi	0.06561192205139056
1861	afghanistan	0.06561192205139056
1887	arabia	0.06561192205139056
1815	modern	0.06561192205139056
1062	received	0.06530563707733757
1077	supported	0.06530563707733757
240	congress	0.06511982744776154
4014	mobilize	0.06426498144163544
445	issues	0.06322055467185743
1679	capitol	0.06296394785956996
1678	healthcare	0.06296394785956996
1670	efficiency	0.06296394785956996
971	despite	0.06124458323271796
1541	greed	0.06052804773367923
1636	hill	0.06052804773367923
3474	david	0.059737769902224555
3335	modest	0.059737769902224555
3389	wider	0.059737769902224555
3264	intelligent	0.059737769902224555
3247	lesson	0.059737769902224555
3454	revenue	0.059737769902224555
410	party	0.05966935576317119
656	veterans	0.05846487550168371
474	largest	0.057393208258718194
379	continue	0.05628732710494407
375	city	0.05628732710494407
1374	piece	0.05617313055045365
3059	supportive	0.056038768739342264
3055	block	0.056038768739342264
852	democrat	0.05582632348016873
831	wealthiest	0.05582632348016873
454	financial	0.0557700451171195
345	program	0.05465486028917535
1251	mayor	0.054209061663566316
335	democrats	0.05305908124433106
2650	corporation	0.05291130781828111
2651	congressional	0.05291130781828111
772	ran	0.05257845664564774
1194	agreements	0.05236410253853216
1118	sixty	0.0506246288061302
2431	gap	0.050202177942006494
2467	reelected	0.050202177942006494
711	wealth	0.04957140163804641
501	beautiful	0.04921737259447796
1063	decent	0.04897922780800318
289	democratic	0.048476253841593944
204	election	0.04825303793727414
479	iraq	0.04782767354893183
2242	property	0.047812556037049085
2273	jim	0.047812556037049085
2272	council	0.047812556037049085
2260	negative	0.047812556037049085
2177	housing	0.047812556037049085
2142	improving	0.047812556037049085
2275	gridlock	0.047812556037049085
659	prepared	0.04677190040134697
8243	cam	0.04619529422044667
8253	usurpation	0.04619529422044667
8225	livable	0.04619529422044667
8268	contemporaries	0.04619529422044667
8269	lowes	0.04619529422044667
8208	lowermiddleclass	0.04619529422044667
8219	champlain	0.04619529422044667
8223	casts	0.04619529422044667
8233	legion	0.04619529422044667
8263	decently	0.04619529422044667
8206	sketch	0.04619529422044667
8279	contemplating	0.04619529422044667
8250	inhouse	0.04619529422044667
8220	trusts	0.04619529422044667
8280	slumping	0.04619529422044667
8265	hehe	0.04619529422044667
8232	unchecked	0.04619529422044667
8252	mastery	0.04619529422044667
8207	solidly	0.04619529422044667
8271	hostel	0.04619529422044667
8242	helmet	0.04619529422044667
8257	roper	0.04619529422044667
8227	blunders	0.04619529422044667
8231	eyesight	0.04619529422044667
8264	defect	0.04619529422044667
8277	quagmire	0.04619529422044667
8261	perceive	0.04619529422044667
8270	dominate	0.04619529422044667
8245	adjusting	0.04619529422044667
8216	wishes	0.04619529422044667
8247	witnessed	0.04619529422044667
8274	combine	0.04619529422044667
8205	thumbnail	0.04619529422044667
8235	plagued	0.04619529422044667
8249	earmarks	0.04619529422044667
8276	reconcile	0.04619529422044667
8254	experimentation	0.04619529422044667
8213	unionists	0.04619529422044667
8241	airwaves	0.04619529422044667
8255	exceeds	0.04619529422044667
8230	traumatic	0.04619529422044667
8237	topics	0.04619529422044667
8272	portray	0.04619529422044667
8228	posttraumatic	0.04619529422044667
8218	railroads	0.04619529422044667
8266	affection	0.04619529422044667
8211	dissuaded	0.04619529422044667
